,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
4550,"ALTHEADX, INC.",IDGX,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4551,Interactive Data,IDC,US,-,-,-,-/-,-,-,-,-,TSE,-,345.00万,-,信息传递服务,-,-,-
4552,ICx技术,ICXT,US,-,-,-,-/1.00,-,-,-,-,PINK,-,1.00,-,科技设备,-,-,-
4553,ICT Group,ICTG,US,24.73,-,-,-/8.88,-,-,-,-,OTCMKTS,-,695.24万,38.20万,-,-,-,0.74
4554,iShares Ultra Short-Term Bond ETF,ICSH,US,-,-,0.06%,-/-,-,-,-,-,AMEX,-,1.23亿,-,-,-,-,-
4555,IC Power Ltd.,ICP,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4556,ICOPZ,ICOPZ,US,-,-,-,-/-,-,-,-,-,PINK,-,-,-,-,-,-,-
4557,ICOPW,ICOPW,US,-,-,-,-/1.00,-,-,-,-,PINK,-,1.00,-,-,-,-,-
4558,ICO,ICOC,US,-,-,-,-/-,-,-,-,-,PINK,-,-,-,人工合成材料,-,-,-
4559,印度卢比做多-WisdomTree,ICN,US,-,-,-,-/-,-,-,-,-,NYSE,-,905.04万,40.00万,-,-,-,-
4560,iPath Optimized Currency Carry ETN,ICI,US,-,-,-,-/26.41,-,-,-,-,NYSE,-,193.51万,4.90万,-,-,-,-
4561,伊芙美尔医疗,ICCC,US,4.07,-,4.15%,-/46.31,-,7.78,-,-,NASDAQ,-,2918.73万,484.80万,诊断药物,0.12%,7.73%,1.51
4562,ICC-,ICC-,US,-,-,-,-/-,-,-,-,-,AMEX,-,-,-,-,-,-,-
4563,ICC,ICC,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4564,"County Bancorp, Inc.",ICBK,US,19.06,-,6.88%,-/14.18,-,3.87,-,-,NASDAQ,-,1.54亿,664.10万,-,0.21%,8.00%,1.28
4565,ICB收益证券基金,ICB,US,-,-,0.11%,-/20.79,-,-,-,-,NYSE,-,1.62亿,896.30万,封闭式基金/债务,0.04%,46.00%,0.92
4566,Amplify Online Retail ETF,IBUY,US,-,-,1.49%,-/-,-,-,-,-,NASDAQ,-,3189.15万,95.00万,-,15.63%,-,-
4567,IBO (Listing Market - NYSE Amex Network B F),IBO,US,-,-,-,-/-,-,-,-,-,AMEX,-,-,-,-,-,-,-
4568,iBonds 2018 Term Muni Bond ETF,IBMG,US,-,-,0.24%,-/-,-,-,-,-,NYSE,-,1.95亿,765.00万,-,0.24%,-,-
4569,iBonds 2017 Term Muni Bond ETF,IBMF,US,-,-,0.11%,-/-,-,-,-,-,NYSE,-,2.08亿,765.00万,-,0.47%,-,-
4570,Direxion iBillionaire Index ETF,IBLN,US,-,-,0.19%,-/-,-,-,-,-,NYSE,-,4212.90万,150.00万,-,0.02%,-,-
4571,IBERIABANK CORP Dep Shs Repstg 1/400th Int Fixed to Fltg Perp Pfd Ser B%,IBKCP,US,65.25,-,1.18%,-/6.97,-,-,-,-,NASDAQ,-,8309.40万,300.00万,-,0.43%,-,0.42
4572,IBERIABANK CORP DEP SHS REP 1/400 PER PFD S,IBKCO,US,65.25,-,0.25%,-/-,-,-,-,-,NASDAQ,-,5502.00万,200.00万,-,0.03%,-,0.42
4573,iBonds 2025 Term Corp Bond ETF,IBDQ,US,-,-,0.56%,-/-,-,-,-,-,NYSE,-,1.73亿,690.00万,-,0.32%,-,-
4574,iShares iBonds Mar 2023 Corporate,IBDD,US,-,-,0.67%,-/-,-,-,-,-,NYSE,-,8690.50万,325.00万,-,0.34%,-,-
4575,iShares iBonds Mar 2023 Corp ex-Fincls,IBCE,US,-,-,-,-/-,-,-,-,-,NYSE,-,4679.70万,190.00万,-,0.04%,-,-
4576,iShares iBonds Mar 2020 Corp ex-Fincls,IBCD,US,-,-,0.16%,-/-,-,-,-,-,NYSE,-,8521.50万,345.00万,-,0.08%,-,-
4577,iShares iBonds Mar 2018 Corp ex-Fincls,IBCC,US,-,-,0.16%,-/-,-,-,-,-,NYSE,-,9127.90万,370.00万,-,0.28%,-,-
4578,IBAS,IBAS,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4579,"Industrias Bachoco, S.A.B. de C.V.",IBA,US,33.24,-,1.44%,9.46/169.72,-,7.93,-,-,NYSE,-,27.16亿,5000.00万,肉制品,0.02%,-,1.64
4580,I,AMEX,US,-,-,-,-/-,-,-,-,-,PTEST,-,-,-,-,-,-,-
4581,I,NYSE,US,-,-,-,-/-,-,-,-,-,NTEST,-,-,-,-,-,-,-
4582,CORTS TR III VERIZON GLOBAL,HYY.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,2502.00万,-,-,-,-,-
4583,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,HYXE,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,1041.66万,20.00万,-,-,-,-
4584,HYP,HYP,US,-,-,-,-/1.00,-,-,-,-,PINK,-,1.00,-,-,-,-,-
4585,负久期高收益债-WisdomTree,HYND,US,-,-,0.96%,-/-,-,-,-,-,NASDAQ,-,1666.40万,80.00万,-,0.22%,-,-
4586,CORTS TR BOEING CO NTS,HYM.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,4014.00万,-,-,-,-,-
4587,Indexiq Etf Trust,HYLV,US,-,-,-,-/-,-,-,-,-,NYSE,-,5194.70万,205.00万,-,-,-,-
4588,Hulu,HULU,US,-,-,-,-/-,Hulu是目前新媒体领域最热门的公司之一，由新闻集团、迪士尼、NBC环球和私人股权基金Providence Equity Partners合资共建。Hulu主要向用户免费提供网络视频服务，在推出付费服务之前，该公司主要通过广告获得收入。从2010年6月起，Hulu开始测试付费服务Hulu Plus，收费标准为每月9.95美元；11月，Hulu将付费服务价格下调20%至7.99美元。,-,-,-,PREIPO,-,-,-,科技股（软件与互联网）,-,-,-
4589,Hubbell Inc. CL 'B',HUB.B,US,-,-,2.87%,-/29.20,-,-,-,-,NYSE,-,63.20亿,-,-,-,73.30%,-
4590,华为,HUAW,US,-,-,-,-/-,"华为技术有限公司是一家总部位于中国广东省深圳市的生产销售电信设备公司，1987年由任正非创建于中国深圳，截至2012年是全球最大的电信网络解决方案提供商，全球第二大电信基站设备供应商。

2012年10月，《华尔街日报》报道称，华为已和多家投行接洽，拟在美国市场上市；不过，华为公司官方很快就否认了该消息。",-,-,-,PREIPO,-,-,-,中国硬件、半导体与设备,-,-,-
4591,华大基因,HUADA,US,155.72,-,-,-/-,"华大基因成立于1999年，先后完成了国际人类基因组计划“中国部分”、国际人类单体型图计划（10%）、第一个亚洲人基因组图谱、水稻基因组计划等多项具有国际先进水平的基因组研究工作，形成了科学、技术、产业相互促进的发展模式，拥有一支世界一流水平的产学研队伍，建立了核酸测序平台、蛋白质谱平台、细胞学平台、动物克隆平台、微生物平台、动物平台、海洋生物平台、信息技术平台，并作为核心单位参与国家基因库的构建，成立了生育健康中心和临床及医学健康中心，进一步促进基因组学研究成果向人类健康服务、环境应用、生物育种等方面的应用转化。
",-,-,-,PREIPO,-,-,23.16亿,-,-,-,-
4592,John Hancock Tax-Advantaged Global Shareholder Yield Fund Common Shares of Beneficial Interest,HTY,US,-,-,0.84%,-/-,-,-,-,-,NYSE,-,1.04亿,1091.70万,-,0.34%,22.00%,-
4593,HTV,HTV,US,-,-,-,-/1.00,-,-,-,-,PINK,-,1.00,-,-,-,-,-
4594,Hull Tactical US ETF,HTUS,US,-,-,0.37%,-/-,-,-,-,-,NYSE,-,1.00亿,370.00万,-,0.15%,-,-
4595,健康电子,HTRN,US,-,-,-,-/1.00,-,-,-,-,PINK,-,1.00,-,医疗器械设备,-,-,-
4596,HELIOS TOTAL RETURN FD INC,HTR.RT,US,-,-,-,-/-,-,-,-,-,OTCMKT,-,-,-,-,-,-,-
4597,日立,HTHIY,US,55.28,-,-,18.96/13.69,-,1.58,-,-,OTCMKTS,-,293.62亿,48.28亿,-,-,-,1.10
4598,HTGZ.L,HTGZ.L,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4599,"Hercules Capital, Inc. 7.00% Note due 2019",HTGZ.CL,US,-,-,0.12%,-/-,-,-,-,-,NYSE,-,4320.64万,172.00万,-,0.37%,-,-
4600,HERCULES TECH GROWTH CAP INC,HTGZ,US,9.86,-,-,-/35.99,-,-,-,-,NYSE,-,4336.12万,172.00万,-,-,-,2.56
4601,HTGY.L,HTGY.L,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4602,"Hercules Capital, Inc. 7.00% Senior Notes due 2019",HTGY.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,7578.60万,300.00万,-,-,-,-
4603,HERCULES TECH GROWTH CAP INC,HTGY,US,9.86,-,-,-/35.70,-,-,-,-,NYSE,-,7590.00万,300.00万,-,-,-,2.57
4604,哈维斯特能源信托,HTE,US,-,-,-,-/-,-,-,-,-,PINK,-,-9.00,-,多元化投资,-,-,-
4605,HERSHA HOSPITALITY 6.5% PFD CUM RED 31/12/49 D,HT-D,US,-,-,0.16%,-/-,-,-,-,-,NYSE,-,1.93亿,770.00万,-,0.02%,-,-
4606,HERSHA HOSPITALITY TR,HT-C,US,-,-,0.32%,-/-,-,-,-,-,NYSE,-,7560.00万,300.00万,-,0.11%,-,-
4607,Covered Call策略-Horizons,HSPX,US,-,-,0.10%,-/-,-,-,-,-,NYSE,-,6684.31万,140.30万,-,0.21%,-,-
4608,HSN,HSNI,US,3.85,-,1.73%,20.52/16.45,"HSN, Inc. (Nasdaq: HSNI) is a $3 billion interactive multi-channel retailer with strong direct-to-consumer expertise and operates two business segments, HSN and Cornerstone. HSNi offers an innovative, differentiated retail experience on TV, online, via mobile, in catalogs, and in brick and mortar stores. HSN delivers a curated assortment of exclusive products and top brand names, and broadcasts live 24 hours a day, seven days a week, 364 days a year, reaching approximately 96 million homes. HSN.com is a top 10 most trafficked e-commerce site that creates a unique experience by leveraging content, community and commerce. In addition, HSN is an industry leader in transactional innovation, offering services such as HSN Shop by Remote®, the only service of its kind in the U.S.; mobile applications, including HSN apps for iPad®, iPhone®, Android™; and HSN on Demand®. Cornerstone is comprised of leading home and apparel lifestyle brands, including Ballard Designs, Frontgate, and Garnet Hill. Cornerstone operates eight separate e-commerce sites, distributes more than 275 million catalogs annually, and has 20 retail and outlet stores.",3.92,-,-,NASDAQ,-,18.17亿,5237.50万,电子商务,0.47%,63.00%,8.94
4609,Histogenics,HSGX,US,0.66,http://www.histogenics.com/,2.95%,-/-,"Histogenics is a regenerative medicine company focused on developing and commercializing products in the musculoskeletal segment of the marketplace. Our first product candidate, NeoCart, is being investigated in a Phase 3 clinical trial. NeoCart utilizes various aspects of our regenerative medicine platform to develop an innovative tissue implant intended to treat tissue injury in the field of orthopedics, specifically cartilage damage in the knee. NeoCart is an investigational product and has not been approved for sale in any jurisdiction, including the United States. We we have no other products that are approved for sale in the United States and currently we are not selling any other products that may be approved for sale in other jurisdictions.",0.84,S1/F1,-,NASDAQ,-,3724.24万,2216.80万,医疗仪器,0.01%,66.00%,2.55
4610,iShares Currency Hedged MSCI EAFE Small-Cap ETF,HSCZ,US,-,-,-,-/-,-,-,-,-,NYSE,-,710.35万,25.00万,-,0.04%,-,-
4611,ARRHYTHMIA RESH TECHNOLOGY I,HRT,US,-,-,-,-/-,-,-,-,-,AMEX,-,1105.83万,282.10万,-,-,13.60%,1.84
4612,豪华线,HRSH,US,-,-,-,-/1.00,-,-,-,-,PINK,-,1.00,-,海运,-,-,-
4613,Harmony Merger Corp.,HRMNW,US,-,-,25.54%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4614,Harmony Merger,HRMNU,US,-,-,-,-/-,"Harmony Merger Corp. is a blank check company formed for the purpose of entering into a merger, stock exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities. Our efforts to identify a prospective target business will not be limited to a particular industry or geographic region of the world.",-,S1/F1,-,NASDAQ,-,-,-,资产管理,-,-,-
4615,Harmony Merger Corp.,HRMN,US,1.11,-,-,-/-,-,0.01,-,-,NASDAQ,-,1.49亿,1458.90万,-,-,-,9.21
4616,NASDAQ Test Symbol,HQZST,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4617,Hartford Funds Exchange-Traded Trust,HQBD,US,-,-,-,-/-,-,-,-,-,NYSE,-,2016.00万,40.00万,-,-,-,-
4618,HOSPITALITY PPTYS TR,HPT-C.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,1.69亿,-,-,-,-,-
4619,HOSPITALITY PPTYS TR,HPT-B.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,8691.00万,-,-,-,-,-
4620,HPRT,HPRT,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4621,Hovnanian Enterprises Inc - Depositary Share representing 1/1000th of 7.625% Series A Preferred Stock,HOVNP,US,-1.80,-,0.57%,-/-,-,-,-,-,NASDAQ,-,3939.60万,560.00万,-,0.03%,-,-3.92
4622,斯卡尔内华达州,HOO,US,-,-,-,-/7.90,-,-,-,-,PINK,-,-,-,公用水业,-,-,-
4623,"ETRACS Monthly Reset 2xLeveraged ISE Exclusively Homebuilders ETN due March 13, 2045",HOML,US,-,-,-,-/-,-,-,-,-,NYSE,-,599.76万,18.00万,-,0.28%,-,-
4624,Sage Core Reserves ETF-AdvisorShares,HOLD,US,-,-,0.03%,-/-,-,-,-,-,NYSE,-,8474.50万,85.00万,-,0.03%,-,-
4625,哈利斯国民银行,HNBC,US,-,-,-,-/-,-,-,-,-,PINK,-,-,-,地区性银行/东北部,-,-,-
4626,HERALD NATL BK NEW YORK,HNB,US,-,-,-,-/-,-,-,-,-,NYSEAMEX,-,-,-,-,-,30.00%,-
4627,HEMISPHERE MEDIA GROUP INC,HMTV,US,6.48,-,1.33%,53.62/25.57,-,13.08,-,-,NASDAQ,-,2.46亿,2187.50万,-,0.10%,110.00%,1.74
4628,HOMETOWN BANKSHARE COM STK USD0.001,HMTA,US,8.44,-,-,-/27.97,-,0.41,-,-,NASDAQ,-,5969.03万,576.70万,-,0.01%,-,1.23
4629,HMN金融,HMNF,US,18.41,-,-,-/49.43,-,0.04,-,-,NASDAQ,-,7776.80万,449.50万,存贷款服务,-,27.31%,0.94
4630,霍勒斯曼恩,HMN,US,32.60,-,1.85%,14.20/21.03,-,3.21,-,-,NYSE,-,15.35亿,4054.30万,-,0.21%,100.47%,1.16
4631,HMG COURTLAND PPTYS INC,HMG,US,20.13,-,-,-/-,-,5.46,-,-,AMEX,-,1058.53万,100.20万,-,-,1.93%,0.52
4632,HILLMAN GROUP CAP TR,HLM-,US,-,-,0.03%,-/-,-,-,-,-,AMEX,-,1.46亿,421.80万,-,0.03%,23.00%,-
4633,海亮教育,HLG,US,5.53,http://www.hailiangedu.com,-,14.82/39.33,"海亮教育集团由中国500强企业——中国·海亮集团投资兴办，学校始创于1995年8月，名为诸暨市海亮外国语学校，校址在诸暨市湄池镇（现为店口镇）；2001年，海亮外国语学校高中部从中剥离，迁址诸暨市城关，独立成为私立诸暨高级中学；2009年7月，海亮集团完成对诸暨天马实验学校的并购，实现强强联合，海亮教育集团成为全国规模最大的民办教育集团之一。

海亮教育目前拥有三所高规格学校——诸暨市海亮外国语学校、天马实验学校、私立诸暨高a级中学，办学层次包括普通高中、初中、小学、幼儿园、国际教育及教育培训。现有在校学生共18673名，教职工2121名，是长三角地区民办中小学和国际教育的领头雁。",0.14,S1/F1,0575-89003399,NASDAQ,浙江省杭州市滨江区滨盛路1508号海亮大厦,2.12亿,2570.05万,-,-,-,1.49
4634,HECLA MNG CO,HL-B,US,-,-,-,-/1077.91,-,-,-,-,NYSE,-,916.12万,15.80万,-,-,-,-
4635,INDEXIQ ETF TR,HKK,US,-,-,-,-/-,-,-,-,-,NYSEARCA,-,130.00万,-,-,-,-,-
4636,HALCON RES CORP C/WTS 09/09/20 (TO PUR COM),HK+,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4637,"MS Structured Asset Corp MS Structured Asset Corp. SATURNS J.C. Penney Company, Inc. Debenture Backed Series 2007-1, 7% Callable",HJV,US,-,-,0.83%,-/-,-,-,-,-,NYSE,-,3405.16万,218.00万,-,0.16%,-,-
4638,日本日经400ETF汇率对冲-iShares,HJPX,US,-,-,-,-/-,-,-,-,-,NYSE,-,264.89万,10.00万,-,-,-,-
4639,-,HJO.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,2580.00万,-,-,-,-,-
4640,SATURNS GOLDMAN SACHS CAP I,HJL.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,8109.00万,-,-,-,-,-
4641,Western Asset High Income Fund,HIX,US,-,-,0.55%,-/7.18,-,-,-,-,NYSE,-,6.31亿,8620.40万,封闭式基金/债务,0.34%,20.00%,0.98
4642,Western Asset High Income Opportunity Fund Inc,HIO,US,-,-,0.58%,-/-,-,-,-,-,NYSE,-,6.66亿,1.29亿,-,0.10%,20.94%,0.94
4643,EGShares Low Volatility EM Dividend ETF,HILO,US,-,-,-,-/-,-,-,-,-,NYSE,-,1325.73万,95.00万,-,2.84%,-,-
4644,希尔国际管理,HIL,US,1.59,-,4.05%,-/-,-,6.20,-,-,NYSE,-,2.56亿,5187.80万,管理服务,0.25%,44.12%,3.02
4645,骇维金属加工,HIHO,US,2.97,-,2.31%,-/10.51,-,0.63,-,-,NASDAQ,-,1318.49万,380.20万,金属加工,0.45%,4.00%,1.14
4646,HARTFORD FINL SVCS GROUP INC,HIG+,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,1.59%,-
4647,HIFN,HIFN,US,-,-,-,-/-,-,-,-,-,PINK,-,-,-,-,-,-,-
4648,Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,HIE,US,-,-,1.41%,-/-,-,-,-,-,NYSE,-,1.82亿,1341.80万,-,0.33%,-,-
4649,国际高收益债ETF汇率对冲-iShares,HHYX,US,-,-,-,-/-,-,-,-,-,NYSE,-,134.28万,5.00万,-,0.77%,-,-
4650,HOOPER HOLMES INC,HH,US,-,-,-,-/-,-,-,-,-,AMEX,-,885.02万,1181.60万,-,-,53.54%,-2.57
4651,Hilton Grand Vacations Inc.,HGV*,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4652,休哥顿信托,HGT,US,0.60,-,5.00%,-/1.87,"Hugoton Royalty Trust was created on December 1, 1998 when XTO Energy Inc. conveyed 80% net profits interests in certain predominantly gas-producing properties located in Kansas, Oklahoma and Wyoming to the trust. The net profits interests are the only assets of the trust, other than cash held for trust expenses and for distribution to unitholders.",1.84,-,-,NYSE,-,8000.00万,4000.00万,多元化投资,0.19%,15.01%,3.17
4653,汉广厦房地产,HGSH,US,3.32,86-536-5670008,1.98%,-/17.56,中国汉广厦房地产公司依托其全资子公司陕西广厦投资发展集团有限公司，主要专注于大规模、高品质的商业及住宅房地产项目的开发和建设业务。公司在中国西部三线城市的房产项目类型包括多层公寓楼、次高层公寓楼和高层公寓楼。公司拥有国家一级房地产开发商资质，从2007年到2010年，汉广厦在陕西汉中的市场占有率始终位列第一。汉广厦的总部位于中国陕西省汉中市。2009年8月，汉广厦在美国OTCBB上市；2010年9月，公司转升纳斯达克全球市场。,26.34,-,86-091-62622612,NASDAQ,陕西省汉中市汉台区兴汉路6号广厦名品广场19层,7117.90万,4505.00万,中国房地产,-,-,0.48
4654,医疗职系,HGRD,US,-,-,-,-/-,"HealthGrades is the leading health care ratings organization, providing ratings and profiles of hospitals, nursing homes and physicians to consumers, corporations, health plans and hospitals. Millions of consumers and hundreds of the nation's largest employers, health plans and hospitals rely on HealthGrades independent ratings, consulting and products to make health care decisions based on the quality of care. Founded in 1999, the firm is headquartered in Denver, Colorado, and has over 200 employees.",-,-,-,NASDAQ,-,2.50亿,-,互联网信息提供商,-,-,-
4655,ProShares Hedged FTSE Japan ETF,HGJP,US,-,-,-,-/-,-,-,-,-,NYSE,-,368.13万,12.50万,-,-,-,-
4656,Guggenheim Intl Multi-Asset Inc ETF,HGI,US,-,-,0.72%,-/-,-,-,-,-,NYSE,-,1510.20万,90.00万,-,0.07%,-,-
4657,hhgregg电子零售,HGG,US,-,-,-,1.77/-,-,-,-,-,NYSE,-,697.98万,2780.80万,电子产品零售,-,126.00%,0.17
4658,ProShares Hedged FTSE Europe ETF,HGEU,US,-,-,-,-/-,-,-,-,-,NYSE,-,425.00万,10.00万,-,-,-,-
4659,IQ 50 Percent Hedged FTSE Japan ETF,HFXJ,US,-,-,0.03%,-/-,-,-,-,-,NYSE,-,2842.15万,145.00万,-,0.03%,-,-
4660,IQ 50 Percent Hedged FTSE International ETF,HFXI,US,-,-,0.20%,-/-,-,-,-,-,NYSE,-,2.16亿,1060.00万,-,0.23%,-,-
4661,IQ 50 Percent Hedged FTSE Europe ETF,HFXE,US,-,-,0.41%,-/-,-,-,-,-,NYSE,-,8656.56万,440.00万,-,0.26%,-,-
4662,SPDR EURO STOXX 50 Currency Hedged ETF,HFEZ,US,-,-,-,-/-,-,-,-,-,NYSE,-,2605.85万,65.00万,-,0.60%,-,-
4663,HopFed银行,HFBC,US,14.06,-,1.26%,23.02/26.50,"HopFed Bancorp, Inc. has provided neighborhood banking to local communities for more than a century. It is a legacy we are proud of and a future mission that we hold in special regard.",1.06,-,-,NASDAQ,-,9612.38万,671.70万,存贷款服务,0.04%,52.17%,1.02
4664,韩国ETF汇率对冲-iShares,HEWY,US,-,-,-,-/-,-,-,-,-,NYSE,-,142.15万,5.00万,-,-,-,-
4665,墨西哥ETF汇率对冲-iShares,HEWW,US,-,-,-,-/-,-,-,-,-,NYSE,-,316.95万,15.00万,-,-,-,-
4666,加拿大ETF汇率对冲-iShares,HEWC,US,-,-,-,-/-,-,-,-,-,NYSE,-,251.30万,10.00万,-,0.10%,-,-
4667,翰威特,HEW,US,-,-,-,-/11.33,翰威特(HEW)是世界最大的人力资源咨询及外包公司之一，具有60年的客户服务经验和市场先导地位，专长于为企业提供策略性的人力资源管理解决方案，其客户包括《财富500》中75%以上的公司。在32个国家拥有2.3万名员工，在大中华区，翰威特是目前规模最大、资历最深的跨国咨询公司。怡安于2010年10月，翰威特被美国保险商怡安收购，怡安计划将翰威特与其已有的咨询及外包业务整合，并创建一个新的部门—怡安翰威特(AON Hewitt)。,-,-,-,TSE,-,2960.00万,-,管理服务,-,-,-
4668,iPath Pure Beta Industrial Metals ETN,HEVY,US,-,-,-,-/-,-,-,-,-,NYSE,-,49.04万,1.80万,-,-,-,-
4669,iShares Currency Hedged MSCI Europe Minimum Volatility ETF,HEUV,US,-,-,-,-/-,-,-,-,-,AMEX,-,377.93万,-,-,-,-,-
4670,欧洲小盘股ETF汇率对冲-iShares,HEUS,US,-,-,-,-/-,-,-,-,-,AMEX,-,141.80万,-,-,-,-,-
4671,iShares Currency Hedged MSCI EM Minimum Volatility ETF,HEMV,US,-,-,-,-/-,-,-,-,-,AMEX,-,630.50万,-,-,-,-,-
4672,iShares Currency Hedged MSCI EAFE Minimum Volatility ETF,HEFV,US,-,-,-,-/-,-,-,-,-,AMEX,-,1878.80万,-,-,-,-,-
4673,HUNTINGTON STRATEGY SHS,HECO,US,-,-,-,-/-,-,-,-,-,NYSE,-,679.70万,17.50万,-,-,-,-
4674,HECO CAP TR III,HE-U,US,-,-,-,-/-,-,-,-,-,NYSE,-,5326.00万,200.00万,-,-,-,-
4675,WisdomTree Trust WisdomTree International Hedged Equity Fund,HDWM,US,-,-,-,-/-,-,-,-,-,NYSE,-,265.31万,10.00万,-,-,-,-
4676,国际房地产ETF汇率对冲-WisdomTree,HDRW,US,-,-,-,-/-,-,-,-,-,AMEX,-,267.41万,-,-,-,-,-
4677,Hydra Industries Acquisition Corp. - Warrants,HDRAW,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4678,Deutsche X-trackers MSCI All World ex US High Dividend Yield Hedged Equity ETF,HDAW,US,-,-,-,-/-,-,-,-,-,NYSE,-,390.90万,15.00万,-,-,-,-
4679,iShares Edge MSCI Multifactor Healthcare ETF,HCRF,US,-,-,0.05%,-/-,-,-,-,-,AMEX,-,283.50万,-,-,-,-,-
4680,Hartford Funds Exchange-Traded Trust,HCOR,US,-,-,-,-/-,-,-,-,-,NYSE,-,1535.40万,30.00万,-,-,-,-
4681,HCN-JL,HCN-JL,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4682,HEALTH CARE REIT INC,HCN-J,US,-,-,-,-/-,-,-,-,-,NYSE,-,2.90亿,1150.00万,-,-,-,-
4683,HEALTH CARE REIT INC,HCN-I,US,-,-,0.72%,-/-,-,-,-,-,NYSE,-,9.45亿,1437.50万,-,0.05%,12.47%,-
4684,HEALTH CARE REIT INC,HCN-D.CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4685,HCJ.L,HCJ.L,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4686,HOMEOWNERS CHOICE INC,HCJ,US,-,-,-,-/4.18,-,-,-,-,NYSE,-,887.25万,35.00万,-,-,-,1.16
4687,HENNESSY CAP ACQUISITION COR,HCACW,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
4688,HENNESSY CAP ACQUISITION COR,HCACU,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,1.85亿,1750.00万,-,-,21.00%,-
4689,HENNESSY CAP ACQUISITION COR,HCAC,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,2.49亿,2495.00万,-,-,-,14.19
4690,RUSSELL EXCHANGE TRADED FDS,HBTA,US,-,-,-,-/-,-,-,-,-,AMEX,-,492.00万,-,-,-,-,-
4691,Hudbay Minerals(Warrants),HBM+,US,-,-,-,-/-,-,-,-,-,NYSE,-,555.31万,2239.10万,-,-,-,-
4692,HAMILTON BANCORP INC MD,HBK,US,19.10,-,1.85%,-/303.10,-,8.75,-,-,NASDAQ,-,5166.71万,340.90万,-,0.08%,31.00%,0.79
4693,Home合众银行,HBCP,US,25.05,-,1.44%,12.17/14.29,-,1.12,-,-,NASDAQ,-,2.60亿,737.60万,地区性银行/东南部,0.09%,4.16%,1.41
4694,HARRIS PFD CAP CORP,HBC-CL,US,-,-,-,-/-,-,-,-,-,NYSE,-,2.52亿,-,-,-,-,-
4695,亨廷顿银行优先股N,HBANN,US,-,-,0.35%,-/-,-,-,-,-,NASDAQ,-,1.03亿,400.00万,-,0.04%,-,-
4696,澳大利亚ETF汇率对冲-iShares,HAUD,US,-,-,-,-/-,-,-,-,-,NYSE,-,355.65万,15.00万,-,-,-,-
4697,-,HAL.WD,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
4698,Direxion Daily Cyber Security Bear 2X Shares,HAKD,US,-,-,-,-/-,-,-,-,-,NYSE,-,113.90万,5.00万,-,-,-,-
4699,CSOP China CSI 300 A-H Dynamic ETF,HAHA,US,-,-,-,-/-,-,-,-,-,NYSE,-,411.61万,15.00万,-,-,-,-
4700,全球股票ETF汇率对冲-iShares,HACW,US,-,-,-,-/-,-,-,-,-,NYSE,-,269.20万,10.00万,-,-,-,-
4701,iShares Currency Hedged MSCI ACWI Minimum Volatility ETF,HACV,US,-,-,-,-/-,-,-,-,-,AMEX,-,276.10万,-,-,-,-,-
4702,HABC,HABC,US,2.04,-,-,-/-,-,30.62,-,-,PINK,-,-,281.80万,-,-,9.00%,-
